farm_name,coordinates
Cascadia Greens,"47.2043036,-121.9936887"
Unknown,NA
21 Acres,"47.7502436,-122.1591767"
Alki Farms,"47.7457802,-122.1556116"
Alki Market Garden,"47.7459799,-122.1503993"
Ayeko Farm,"47.2274089,-122.0290885"
Black Farmers Collective,"47.6015468,-122.3234496"
Black Star Farmers,"47.6172944,-122.3216779"
Carnation Farms,"47.6782554,-121.9544722"
Carpinito Farm,"47.3950706,-122.2297455"
Caruso Farm,"47.8782821,-122.0526352"
Cascadia Produce (Distributor),"47.3266708,-122.232777"
Clean Greens,"47.6022065,-122.3069972"
Ecolibrium Farm,"47.5658788,-122.0100045"
Faith Beyond Farm,"47.3702846,-122.2897851"
Fall City Farms,"47.5781824,-121.896758"
Farmstand Local Foods (distributor),"47.551801,-122.3945658"
Flying Tomato Farm,"47.5555656,-122.3209544"
Forest Garden Farm,"47.4794336,-122.4706857"
Frisky Girl Farm,"47.5110334,-121.772594"
Full Circle,"47.5658788,-122.0100045"
Gracie's Greens,"47.4207137,-122.5207136"
GreenMan Farm,"47.4592266,-122.4479437"
Hand-Grown Greens,"47.6063486,-121.9331677"
High & Dry Farm,"47.8877264,-121.7938542"
Hima Farms,"47.6757423,-122.2394706"
Jon the Farmer,"47.5658788,-122.0100045"
Kamayan Farm,"47.5273011,-121.8707362"
Lee's Fresh Produce,"47.4140408,-122.2807288"
Lee Lor Garden,"47.5876447,-122.315121"
Lily Fields,"45.6133416,-122.4376827"
Linda Kozak,"47.4207137,-122.5207136"
Local Roots Farm,"47.6349728,-122.0819622"
Lowlands Farm,"47.8062607,-122.122593"
Matsuda Farm,"47.4323906,-122.4666727"
Mosby Farm,"47.2891453,-122.1759227"
Mount Si Fungi,"47.5658788,-122.0100045"
Namuna Garden,"47.4746452,-122.2849894"
New Roots Farm Program,"47.4763239,-122.2807105"
Provo Farms,"47.4233042,-122.4477158"
Northbourne Farm,"47.4565606,-122.4511177"
NW Farms,"47.3239497,-122.2772907"
Orange Star Farm,"47.8634311,-121.9435757"
Oxbow Farm,"47.6777367,-122.0058828"
Plum Forest Farm,"47.4252238,-122.4714232"
Radicle Roots Farm,"47.7605015,-122.3874161"
Rain Dog Farm,"47.6658059,-122.0312807"
Red Barn Organic Farms,"47.2201236,-121.9790837"
Regeneration Farm,"47.7468366,-122.1555405"
Rising Sign Farm,"47.6399555,-121.9129127"
Rockridge Orchards,"47.2368249,-121.9930108"
Sacred Gorilla Farm,"47.447300, -122.459900"
Sales & Distribution facility in KC,"47.5536765,-122.3382942"
Sariwa Farms,"47.7506474,-122.1783049"
Skylight Farms,"47.836134,-122.0852195"
Small Blessings Farm,"47.2216756,-122.0539346"
Sno-Valley Mushrooms,"47.5299877,-121.8753425"
SnoValley Gardens,"47.5658788,-122.0100045"
Songbird Haven Farm,"47.7348136,-122.2511747"
Sound Sustainable Farms,"47.710736,-122.1552711"
Sound Vegetables,"47.7107537,-122.1618372"
Steel Wheel Farm,"47.5774188,-121.9111799"
Stella Maris Farm,"47.3937496,-122.4748677"
Summer Run Farm,"47.6399555,-121.9129127"
Sun Island Farm,"47.3856916,-122.4533089"
Tangled Willows Farm,"47.8959915,-122.1042819"
Terrebonne Truck Patch,"47.4696065,-122.0770412"
The Common Acre,"47.6211269,-122.3342708"
Tonnemaker Valley Farm,"47.7450259,-122.1503258"
Tualco Valley Farm,"47.7740796,-122.1649874"
Wild Canary Farm,"47.6237576,-121.9075277"
Windy Acre Farm,"47.3581369,-122.2383523"
Ecolibrium LLC.,"47.711652,-122.1368833"
Farmstand Local Foods,"47.55185890828745, -122.3245280018182"
Vashon-Maury Island Land Trust,"47.4475441,-122.4645621"
Wild Canary,"47.6237576,-121.9075277"
