"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
20,160,"Northbourne Farm","47.4565606,-122.4511177",47.4565606,-122.4511177,2019-06-01
10,80,"Forest Garden Farm","47.4794336,-122.4706857",47.4794336,-122.4706857,2019-07-01
90,270,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2019-07-01
60,240,"Provo Farms","47.4233042,-122.4477158",47.4233042,-122.4477158,2019-07-01
40,160,"Provo Farms","47.4233042,-122.4477158",47.4233042,-122.4477158,2019-07-01
100,181,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2019-08-01
50,150,"Provo Farms","47.4233042,-122.4477158",47.4233042,-122.4477158,2019-08-01
35,99.75,"Provo Farms","47.4233042,-122.4477158",47.4233042,-122.4477158,2019-08-01
71,50,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2019-09-01
15.5,46.5,"Provo Farms","47.4233042,-122.4477158",47.4233042,-122.4477158,2019-10-01
44,110,"Forest Garden Farm","47.4794336,-122.4706857",47.4794336,-122.4706857,2019-10-01
185,200,"Northbourne Farm","47.4565606,-122.4511177",47.4565606,-122.4511177,2019-10-01
25,100,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2019-10-01
61.1,152.75,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2019-12-01
20,2000,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
20,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
10,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
10,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
30,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
12,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
15,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
10,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
20,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
15,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
5,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
5,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
15,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
20,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
15,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
7,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
10,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
11,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
30,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
7,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
18,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
24,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
30,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
15,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
20,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
10,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-05-01
18,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
25,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
25,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
25,NA,"Small Blessings Farm","47.2216756,-122.0539346",47.2216756,-122.0539346,2019-05-01
24,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-09-01
25,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
25,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
25,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
50,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
25,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
20,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
16,NA,"Lily Fields","45.6133416,-122.4376827",45.6133416,-122.4376827,2019-10-01
138,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
48,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
52,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
50,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
89,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
75,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
30,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
50,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
25,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
25,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
50,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
30,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
25,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
25,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
25,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
20,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
12.5,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
20,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
15,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
37.5,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
15,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
20,2000,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
19,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
3,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
3.75,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
17,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
2,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
15,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
25,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
22.5,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
24,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
6,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
18.5,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
25,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
10,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
30,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
24,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
10,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
15,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
6,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
6.5,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
1.25,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
0.75,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
15,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
37,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
9,500,"Namuna Garden","47.4746452,-122.2849894",47.4746452,-122.2849894,NA
