"farm_name","order_date","pounds_purchased","order_amount"
"Northbourne Farm",2019-06-13,"20",160
"Forest Garden Farm",2019-07-02,"10",80
"Matsuda Farm",2019-07-11,"90",270
"Provo Farms",2019-07-15,"60",240
"Provo Farms",2019-07-22,"40",160
"Matsuda Farm",2019-08-05,"100",181
"Provo Farms",2019-08-06,"50",150
"Provo Farms",2019-08-21,"35",99.75
"Matsuda Farm",2019-09-12,"71",50
"Provo Farms",2019-10-01,"15.5",46.5
"Forest Garden Farm",2019-10-09,"44",110
"Northbourne Farm",2019-10-16,"25+160",200
"Matsuda Farm",2019-10-28,"25",100
"Matsuda Farm",2019-12-16,"61.1",152.75
"Lily's Fields",2019-05-16,"20",2000
"Lily's Fields",2019-05-16,"20",NA
"Lily's Fields",2019-05-16,"10",NA
"Lily's Fields",2019-05-16,"10",NA
"Lily's Fields",2019-05-16,"30",NA
"Lily's Fields",2019-05-16,"12",NA
"Lily's Fields",2019-05-16,"15",NA
"Lily's Fields",2019-05-16,"10",NA
"Lily's Fields",2019-05-16,"20",NA
"Lily's Fields",2019-05-16,"15",NA
"Lily's Fields",2019-05-16,"5",NA
"Lily's Fields",2019-05-16,"5",NA
"Lily's Fields",2019-05-16,"15",NA
"Lily's Fields",2019-05-16,"20",NA
"Lily's Fields",2019-05-16,"15",NA
"Lily's Fields",2019-05-16,"7",NA
"Lily's Fields",2019-05-16,"10",NA
"Lily's Fields",2019-05-16,"11",NA
"Lily's Fields",2019-05-16,"30",NA
"Lily's Fields",2019-05-16,"7",NA
"Small Blessing Farm",2019-05-16,"18",NA
"Small Blessing Farm",2019-05-16,"24+.",NA
"Lily's Fields",2019-05-16,"30",NA
"Lily's Fields",2019-05-16,"15",NA
"Lily's Fields",2019-05-16,"20",NA
"Lily's Fields",2019-05-16,"10",NA
"Small Blessing Farm",2019-05-16,"18",NA
"Small Blessing Farm",2019-05-16,"25",NA
"Small Blessing Farm",2019-05-16,"25",NA
"Small Blessing Farm",2019-05-16,"25",NA
"Lily's Fields",2019-09-04,"24",NA
"Lily's Fields",2019-10-01,"25",NA
"Lily's Fields",2019-10-16,"25",NA
"Lily's Fields",2019-10-16,"25",NA
"Lily's Fields",2019-10-16,"50",NA
"Lily's Fields",2019-10-21,"25",NA
"Lily's Fields",2019-10-21,"20",NA
"Lily's Fields",2019-10-21,"16",NA
"FaithBeyond Farm",NA,"138",2000
"FaithBeyond Farm",NA,"48",2000
"FaithBeyond Farm",NA,"52",2000
"FaithBeyond Farm",NA,"50",2000
"FaithBeyond Farm",NA,"89",2000
"FaithBeyond Farm",NA,"75",2000
"FaithBeyond Farm",NA,"30",2000
"FaithBeyond Farm",NA,"50",2000
"FaithBeyond Farm",NA,"25",2000
"FaithBeyond Farm",NA,"25",2000
"FaithBeyond Farm",NA,"50",2000
"FaithBeyond Farm",NA,"30",2000
"FaithBeyond Farm",NA,"25",2000
"FaithBeyond Farm",NA,"25",2000
"FaithBeyond Farm",NA,"25",2000
"FaithBeyond Farm",NA,"20",2000
"FaithBeyond Farm",NA,"12.5",2000
"FaithBeyond Farm",NA,"20",2000
"FaithBeyond Farm",NA,"15",2000
"FaithBeyond Farm",NA,"37.5",2000
"FaithBeyond Farm",NA,"15",2000
"FaithBeyond Farm",NA,"20",2000
"Namuna Growers",NA,"19",500
"Namuna Growers",NA,"3",500
"Namuna Growers",NA,"3.75",500
"Namuna Growers",NA,"17",500
"Namuna Growers",NA,"2",500
"Namuna Growers",NA,"15",500
"Namuna Growers",NA,"25",500
"Namuna Growers",NA,"22.5",500
"Namuna Growers",NA,"24",500
"Namuna Growers",NA,"6",500
"Namuna Growers",NA,"18.5",500
"Namuna Growers",NA,"25",500
"Namuna Growers",NA,"10",500
"Namuna Growers",NA,"30",500
"Namuna Growers",NA,"24",500
"Namuna Growers",NA,"10",500
"Namuna Growers",NA,"15",500
"Namuna Growers",NA,"6",500
"Namuna Growers",NA,"6.5",500
"Namuna Growers",NA,"1.25",500
"Namuna Growers",NA,"0.75",500
"Namuna Growers",NA,"15",500
"Namuna Growers",NA,"37",500
"Namuna Growers",NA,"9",500
"Namuna Growers",NA,"6",500
"Namuna Growers",NA,"20",500
"Windy Acre Farm",NA,"120",2000
"Windy Acre Farm",NA,"100",2000
"Windy Acre Farm",NA,"100",2000
"Windy Acre Farm",NA,"200",2000
"Windy Acre Farm",NA,"50",2000
"Windy Acre Farm",NA,"50",2000
"Windy Acre Farm",NA,"200",2000
"Windy Acre Farm",NA,"45",2000
"Oxbow Farm",2019-07-31,"120",197.1
"Oxbow Farm",2019-08-07,"130",196.2
"Oxbow Farm",2019-08-14,"140",198
"Oxbow Farm",2019-08-21,"160",198
"Oxbow Farm",2019-08-28,"160",198
"Oxbow Farm",2019-09-04,"170",198.9
"Oxbow Farm",2019-09-11,"160",198.9
"Oxbow Farm",2019-09-18,"130",198.9
"Oxbow Farm",2019-09-25,"120",198.9
"Oxbow Farm",2019-10-02,"90",133.2
"Oxbow Farm",2019-10-16,"140",197.1
"Oxbow Farm",2019-10-30,"120",199.35
"Oxbow Farm",2019-11-05,"90",166.05
"Oxbow Farm",2019-11-13,"100",191.25
"Oxbow Farm",2019-11-20,"90",179.1
"Oxbow Farm",2019-12-03,"80",151.05
"Oxbow Farm",2019-10-02,"325",249.75
"Oxbow Farm",2019-10-09,"225",249.75
"Oxbow Farm",2019-10-16,"220",314.55
"Oxbow Farm",2019-10-30,"189",249.52
"Oxbow Farm",2019-11-06,"200",245.25
"Oxbow Farm",2019-11-13,"310",250.2
"Oxbow Farm",2019-11-20,"172",240.3
"Oxbow Farm",2019-12-04,"180",240.75
"Oxbow Farm",2019-12-11,"115",238.5
"Oxbow Farm",2019-12-18,"115",229.5
"Clean Greens",2019-05-07,NA,5500
"Clean Greens",2019-05-07,"145",5500
"Clean Greens",2019-05-07,"150",5500
"Clean Greens",2019-05-07,"200",5500
"Clean Greens",2019-05-07,"420",5500
"Clean Greens",2019-05-07,"170",5500
"Clean Greens",2019-05-07,"210",5500
"Clean Greens",2019-05-07,"200",5500
"Clean Greens",2019-05-07,"250",5500
"Clean Greens",2019-05-07,"200",5500
"Clean Greens",2019-05-07,"150",5500
"Clean Greens",2019-05-07,"83",5500
"Clean Greens",2019-05-07,"181",5500
"Clean Greens",2019-05-07,"240",5500
"Farmstand Local",NA,NA,3000
"Caruso Farm",NA,"10+25",NA
"Oxbow",NA,"40+20+60",NA
"Skylight Farms",NA,"25",NA
"High & Dry Farm",NA,"12",NA
"Sound Vegetables",NA,"96",NA
"Caruso Farm",NA,"50",NA
"Lowlands Farm",NA,"60",NA
"Skylight Farms",NA,"10",NA
"Skylight Farms",NA,"60",NA
"Skylight Farms",NA,"10",NA
"Skylight Farms",NA,"80",NA
"Skylight Farms",NA,"40",NA
"Skylight Farms",NA,"50",NA
"Steel Wheel Farm",NA,"50",NA
"Flying Tomato Farm",NA,"5",NA
"Lowlands Farm",NA,"80",NA
"Orange Star Farm",NA,"200",NA
"Orange Star Farm",NA,"20",NA
"Oxbow",NA,"60",NA
"Regeneration Farm",NA,"10",NA
"Skylight Farms",NA,"5",NA
"Tualco Valley Farm",NA,"10",NA
"Flying Tomato Farm",NA,"5",NA
"Lowlands Farm",NA,"80",NA
"Orange Star Farm",NA,"200",NA
"Orange Star Farm",NA,"20",NA
"Oxbow",NA,"60",NA
"Regeneration Farm",NA,"10",NA
"Skylight Farms",NA,"5",NA
"Tualco Valley Farm",NA,"10",NA
"Alki Market Garden",NA,"10",NA
"Caruso Farm",NA,"10",NA
"Caruso Farm",NA,"40",NA
"Caruso Farm",NA,"100",NA
"Faith Beyond Farm",NA,"84",NA
"Hima Farms",NA,"90",NA
"Oxbow",NA,"72",NA
"Skylight Farms",NA,"40",NA
"Sound Vegetables",NA,"40",NA
"Tualco Valley Farm",NA,"20",NA
"Tualco Valley Farm",NA,"20",NA
"Faith Beyond Farm",NA,"10",NA
"Radicle Roots Farm",NA,"10",NA
"Steel Wheel Farm",NA,"48",NA
"Steel Wheel Farm",NA,"60",NA
"Tualco Valley Farm",NA,"40",NA
"Tualco Valley Farm",NA,"40",NA
"Caruso Farm",NA,"100",NA
"Oxbow",NA,"96",NA
"Regeneration Farm",NA,"5",NA
"Skylight Farms",NA,"40",NA
"Steel Wheel Farm",NA,"200",NA
"Summer Run Farm",NA,"30",NA
"Tualco Valley Farm",NA,"10",NA
"Lee's Fresh Produce",2019-07-03,"160",500
"
Cascadia Greens",2019-05-01,"175",262.5
"Frisky Girl",2019-11-01,"75",150
"Tonnemaker Hill Farm*",2019-11-01,"50",50
"Tonnemaker Hill Farm*",2019-11-01,"20",45
"Sales & Distribution facility in KC",2019-11-01,"20",45
"Local Roots Farm",2019-09-11,"100+130",217
"Local Roots Farm",2019-10-16,"400",500
